"Username","participant ethnicity","Response.RT","Response.JOL","Stimuli.Stimuli.Notes_2.1","Stimuli.Stimuli.Notes_3.1","key.1","Target_Ethnicity","scored"
"59c22487cb3cd4000101d12c","Black",7133,"100","F","L","OLD","W",1
"59c22487cb3cd4000101d12c","Black",4750,"100","F","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",5045,"100","M","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",4418,"70","M","L","OLD","W",0
"59c22487cb3cd4000101d12c","Black",4793,"20","F","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",4638,"20","F","L","OLD","B",1
"59c22487cb3cd4000101d12c","Black",3924,"30","F","L","OLD","W",1
"59c22487cb3cd4000101d12c","Black",5332,"40","F","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",5406,"70","F","L","OLD","W",1
"59c22487cb3cd4000101d12c","Black",6091,"90","F","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",3936,"50","F","L","OLD","B",0
"59c22487cb3cd4000101d12c","Black",4825,"20","M","L","OLD","W",0
"59c22487cb3cd4000101d12c","Black",5175,"60","F","L","OLD","B",1
"59c22487cb3cd4000101d12c","Black",4658,"60","F","L","OLD","B",0
"59c22487cb3cd4000101d12c","Black",4293,"30","F","H","OLD","B",1
"59ed327377860e00015135e2","White",8882,"30","F","L","OLD","W",0
"59ed327377860e00015135e2","White",4410,"30","F","L","OLD","W",1
"59ed327377860e00015135e2","White",13171,"20","F","L","OLD","W",1
"59ed327377860e00015135e2","White",8062,"24","F","L","OLD","B",1
"59ed327377860e00015135e2","White",4211,"35","F","H","OLD","B",1
"59ed327377860e00015135e2","White",6831,"25","F","H","OLD","W",1
"59ed327377860e00015135e2","White",4303,"40","M","H","OLD","B",1
"59ed327377860e00015135e2","White",7291,"40","M","H","OLD","B",0
"59ed327377860e00015135e2","White",4797,"40","M","H","OLD","B",0
"59ed327377860e00015135e2","White",11265,"30","F","L","OLD","B",1
"59ed327377860e00015135e2","White",6748,"50","M","H","OLD","W",1
"59ed327377860e00015135e2","White",7926,"35","F","H","OLD","W",0
"59ed327377860e00015135e2","White",4780,"25","F","H","OLD","W",0
"59ed327377860e00015135e2","White",5473,"35","F","L","OLD","B",1
"59ed327377860e00015135e2","White",7330,"35","F","L","OLD","B",1
"59ed327377860e00015135e2","White",4922,"55","M","H","OLD","W",1
"59ed327377860e00015135e2","White",6805,"35","F","H","OLD","B",1
"59ed327377860e00015135e2","White",10004,"40","M","L","OLD","W",1
"59ed327377860e00015135e2","White",10781,"35","M","L","OLD","W",0
"59ed327377860e00015135e2","White",10341,"40","M","H","OLD","B",1
"59ed327377860e00015135e2","White",13123,"35","F","L","OLD","B",1
"59ed327377860e00015135e2","White",5273,"35","F","L","OLD","B",1
"59ed327377860e00015135e2","White",7573,"30","M","H","OLD","W",1
"59ed327377860e00015135e2","White",6727,"35","M","H","OLD","B",1
"59ed327377860e00015135e2","White",7622,"45","M","H","OLD","W",1
"59ed327377860e00015135e2","White",10680,"50","M","L","OLD","W",1
"59ed327377860e00015135e2","White",7405,"40","F","H","OLD","B",1
"59ed327377860e00015135e2","White",6693,"50","M","H","OLD","W",0
"59ed327377860e00015135e2","White",8234,"30","F","H","OLD","B",0
"59ed327377860e00015135e2","White",4871,"35","F","H","OLD","B",1
"59ed327377860e00015135e2","White",6456,"25","F","L","OLD","B",0
"59ed327377860e00015135e2","White",21224,"45","M","L","OLD","W",1
"59ed327377860e00015135e2","White",4347,"25","F","L","OLD","B",0
"59ed327377860e00015135e2","White",8072,"30","F","L","OLD","B",1
"59ed327377860e00015135e2","White",5296,"25","F","L","OLD","W",0
"59ed327377860e00015135e2","White",10817,"35","M","L","OLD","W",0
"59ed327377860e00015135e2","White",5186,"35","F","L","OLD","W",1
"59ed327377860e00015135e2","White",10112,"35","F","L","OLD","B",0
"59ed327377860e00015135e2","White",4213,"35","F","H","OLD","W",1
"59ed327377860e00015135e2","White",7414,"25","F","H","OLD","W",0
"5a4ff22bacc75b000179b0e9","White",3517,"26","F","L","OLD","B",1
"5a4ff22bacc75b000179b0e9","White",3761,"45","M","H","OLD","W",1
"5a4ff22bacc75b000179b0e9","White",3573,"56","F","L","OLD","B",1
"5a4ff22bacc75b000179b0e9","White",3702,"68","M","H","OLD","W",1
"5a4ff22bacc75b000179b0e9","White",4151,"35","M","H","OLD","W",0
